rutR	rutR	-
rutR	gadX	-
rutR	nemR	-
rutR	gadW	-
lexA	dinJ	-
lexA	lexA	-
lexA	rpoD	-
lexA	yafQ	-
ihfA	fis	+
ihfA	ompR	-
ihfA	yeiL	+
ihfA	flhC	-
ihfA	flhD	-
ihfA	hipA	+
ihfA	rpoH	+
ihfA	fnr	+
ihfA	yiaJ	-
ihfA	fhlA	+
ihfA	ihfA	-
ihfA	ihfB	-
ihfA	tdcA	+
ihfA	hipB	+
ihfA	csgD	+
ihfB	fis	+
ihfB	ompR	-
ihfB	yeiL	+
ihfB	flhC	-
ihfB	flhD	-
ihfB	hipA	+
ihfB	rpoH	+
ihfB	fnr	+
ihfB	yiaJ	-
ihfB	fhlA	+
ihfB	ihfA	-
ihfB	ihfB	-
ihfB	tdcA	+
ihfB	hipB	+
ihfB	csgD	+
exuR	exuR	-
exuR	uxuR	-
prpR	prpR	-
yeiL	yeiL	+
nhaR	nhaR	+
rpoS	evgA	+
rpoS	rhaS	+
rpoS	rhaR	+
rpoS	ada	+
rpoS	gadE	+
rpoS	gadX	+
rpoS	gadW	+
rpoS	dhaR	+
rpoS	hdfR	+
rpoS	yeiL	+
rpoS	nhaR	+
rpoS	ilvY	+
rpoS	ihfA	+
rpoS	aidB	+
rpoS	murR	+
rpoS	rpoH	+
rpoS	oxyR	+
rpoS	baeR	+
rpoS	ihfB	+
rpoS	mlrA	+
rpoS	csgD	+
rpoS	pdhR	+
rpoE	rpoE	+
rpoE	rpoD	+
rpoE	rpoH	+
rpoE	rpoN	+
rpoE	ecpR	+
rpoE	tdcR	+
rpoE	rutR	+
rpoD	rcsA	+
rpoD	rcsB	+
rpoD	cspA	+
rpoD	flhC	+
rpoD	arcA	+
rpoD	fadR	+
rpoD	evgA	+
rpoD	fis	+
rpoD	ompR	+
rpoD	srlR	+
rpoD	gcvA	+
rpoD	aidB	+
rpoD	cynR	+
rpoD	dcuR	+
rpoD	oxyR	+
rpoD	qseB	+
rpoD	mlrA	+
rpoD	pdhR	+
rpoD	rutR	+
rpoD	yafQ	+
rpoD	fnr	+
rpoD	putA	+
rpoD	glnG	+
rpoD	gadE	+
rpoD	gadX	+
rpoD	stpA	+
rpoD	araC	+
rpoD	iscR	+
rpoD	relB	+
rpoD	relE	+
rpoD	rhaS	+
rpoD	rhaR	+
rpoD	lrp	+
rpoD	melR	+
rpoD	cysB	+
rpoD	uxuR	+
rpoD	purR	+
rpoD	fucR	+
rpoD	nemR	+
rpoD	torR	+
rpoD	lexA	+
rpoD	ilvY	+
rpoD	cytR	+
rpoD	argR	+
rpoD	accB	+
rpoD	yoeB	+
rpoD	rcnR	+
rpoD	betI	+
rpoD	leuO	+
rpoD	asnC	+
rpoD	dsdC	+
rpoD	dksA	+
rpoD	glcC	+
rpoD	marA	+
rpoD	ecpR	+
rpoD	yefM	+
rpoD	pepA	+
rpoD	acrR	+
rpoD	mqsR	+
rpoD	mqsA	+
rpoD	mngR	+
rpoD	soxR	+
rpoD	soxS	+
rpoD	lysR	+
rpoD	malI	+
rpoD	csgD	+
rpoD	lsrR	+
rpoD	rbsR	+
rpoD	cpxR	+
rpoD	arsR	+
rpoD	pspF	+
rpoD	dinJ	+
rpoD	gntR	+
rpoD	ascG	+
rpoD	galR	+
rpoD	galS	+
rpoD	hipA	+
rpoD	hipB	+
rpoD	prpR	+
rpoD	rpiR	+
rpoD	crp	+
rpoD	mprA	+
rpoD	mlc	+
rpoD	fur	+
rpoD	tdcR	+
rpoD	marR	+
rpoD	nhaR	+
rpoD	rpoS	+
rpoD	rpoE	+
rpoD	rpoD	+
rpoD	rpoH	+
rpoD	rpoN	+
rpoD	yiaJ	+
rpoD	phoB	+
rpoD	narL	+
rpoD	sdiA	+
rpoD	metJ	+
rpoD	trpR	+
rpoD	ydeO	+
rpoD	nagC	+
rpoD	uidR	+
rpoD	tyrR	+
rpoD	flhD	+
rpoD	sgrR	+
rpoD	agaR	+
rpoD	mtlR	+
rpoD	lldR	+
rpoD	gutM	+
rpoD	ada	+
rpoD	cusR	+
rpoD	cadC	+
rpoD	murR	+
rpoD	bglJ	+
rpoD	mazE	+
rpoD	mazF	+
rpoD	fliZ	+
rpoD	fliA	+
rpoD	hns	+
rpoH	rpoD	+
rpoH	phoP	+
rpoH	mlrA	+
rpoH	ydeO	+
rpoH	tyrR	+
rpoH	mlc	+
rpoH	cra	+
rpoH	exuR	+
rpoN	hyfR	+
rpoN	zraR	+
rpoN	rpoH	+
rpoN	flhC	+
rpoN	flhD	+
rpoN	nikR	+
rpoN	glnG	+
rpoN	nac	+
rpoN	fhlA	+
phoP	ydeO	-
phoP	rstA	+
phoP	phoP	-
phoP	gadE	+
phoP	cysB	+
phoP	gadW	+
phoB	phoB	+
phoB	argP	+
yiaJ	yiaJ	-
narL	dpiA	-
narL	dcuR	-
narL	nikR	-
sdiA	gadW	+
fucR	fucR	+
metR	metR	-
metJ	metR	-
xylR	xylR	+
dnaA	dnaA	-
dnaA	rpoH	-
trpR	trpR	-
nagC	nagC	-
nagC	chbR	-
uidR	uidR	-
tyrR	tyrR	-
flhC	fliA	+
flhC	fliZ	+
ttdR	ttdR	+
sgrR	sgrR	-
agaR	agaR	-
mtlR	mtlR	-
fhlA	hyfR	+
fhlA	fhlA	+
lldR	lldR	-
ada	aidB	+
ada	ada	+
cusR	cusR	+
rstA	csgD	-
murR	murR	+
bglJ	leuO	+
mazE	mazE	-
mazE	mazF	-
mazF	mazE	-
mazF	mazF	-
lrhA	flhC	-
lrhA	lrhA	+
lrhA	flhD	-
fliZ	flhD	-
fliZ	mlrA	-
fliZ	gadE	-
fliZ	flhC	-
fliZ	csgD	-
fliA	hdfR	+
fliA	fliZ	+
fliA	fliA	+
fliA	flhC	+
hns	evgA	-
hns	gutM	+
hns	stpA	-
hns	gadE	-
hns	lrp	-
hns	gadX	-
hns	gadW	-
hns	ydeO	-
hns	hdfR	-
hns	nhaR	-
hns	flhC	+
hns	bglJ	-
hns	flhD	+
hns	rcsA	-
hns	rcsB	-
hns	mazE	+
hns	mazF	+
hns	cadC	-
hns	fliA	+
hns	fliZ	+
hns	hns	-
hns	leuO	-
hns	srlR	+
hns	adiY	-
