Ubx Scr
Ubx Sox21b
Ubx bbx
Ubx mid
Ubx inv
Ubx HGTX
Ubx otp
Ubx ss
Ubx Dr
Ubx Mef2
Ubx pb
Ubx Abd-B
her CG13123
her CG3847
her CG17359
her E(bx)
her CG15436
her CG8478
her Lhr
her CG17153
her btn
her CG7357
her CG10565
her CG4820
her pita
her CG17802
her CG17829
her row
her CG8944
her CG17361
her CG6683
her Myb
her CG11723
her CG10267
her CG3995
her CG10904
her Ada2b
her MTA1-like
her Dip2
her CG11560
her CG9797
her CG8924
her trem
her aop
her CG2116
her CG18764
her Su(var)2-10
her CG4707
her Dref
her CG18011
her wek
her CG8359
her tgo
her CG14710
her ash1
her Adf1
her chm
her Su(var)2-HP2
her CG2199
her E(var)3-9
her su(Hw)
her NC2beta
her CG1832
her CG11696
her CG3065
her CG5245
her CG11970
her pnr
her CG10321
her CG6791
her YL-1
her mxc
her CG2875
her CG33213
her CG17612
her Su(var)3-7
her exd
her CG6854
her CG6654
her CG31365
her Dsp1
her CG4936
her CG1603
her pfk
her CG12155
her CG7372
her CG12659
her zf30C
her Sry-delta
her CG4282
her D1
her E2f2
her Max
her CG30020
her CG3227
her CG15514
her pzg
her Sry-beta
her CTCF
her CG18476
her CG15601
her CG1602
her CG17912
her CG17328
her CG3281
her Nf-YB
her Nf-YA
her stwl
her CG5180
her Chrac-16
CG8924 cic
CG8924 Mad
CG8924 chif
CG8924 Taf1
CG8924 CG17829
CG8924 CG10904
CG8924 Set2
CG8924 CG3065
CG8924 z
CG8924 CG8478
CG8924 Lhr
CG8924 CG6689
CG8924 Su(H)
CG8924 Myb
CG8924 CG7357
CG8924 CG10565
CG8924 CG4820
CG8924 GATAd
CG8924 CG6854
CG8924 CG17802
CG8924 CG1529
CG8924 CG7928
CG8924 G9a
CG8924 row
CG8924 CG8944
CG8924 CG17361
CG8924 mod(mdg4)
CG8924 CG6683
CG8924 CG3995
CG8924 CG4936
CG8924 Su(var)2-10
CG8924 lola
CG8924 MTA1-like
CG8924 CG17612
CG8924 CG8290
CG8924 Dip2
CG8924 Meics
CG8924 CG3838
CG8924 polybromo
CG8924 exd
CG8924 stc
CG8924 Dek
CG8924 CG9797
CG8924 trem
CG8924 CG7101
CG8924 psq
CG8924 CG2116
CG8924 CG10267
CG8924 Dp
CG8924 E(bx)
CG8924 MESR4
CG8924 brat
CG8924 Nf-YA
CG8924 CG4707
