gadW gadX
gadW gadE
lexA rpoD
lexA dinJ
lexA yafQ
fur soxS
fur flhD
fur soxR
fur fnr
fur flhC
fur rpoS
soxR soxS
hipB hipA
rcsB flhC
rcsB gadX
rcsB flhD
rcsB ydeO
rcsB rcsA
rcsB leuO
phoB argP
mqsR mqsA
phoP ydeO
phoP gadW
phoP gadE
flhC fliZ
flhC fliA
qseB flhD
qseB flhC
dksA ihfA
dksA ihfB
dksA fis
dksA rpoD
gadX rpoS
gadX gadW
gadX hns
gadX gadE
flhD fliZ
flhD fliA
ihfB flhD
ihfB ihfA
ihfB rpoH
ihfB hipA
ihfB fis
ihfB hipB
ihfB fnr
ihfB flhC
ihfB ompR
rcsA flhD
rcsA flhC
yoeB yefM
rhaS rhaR
yefM yoeB
fliZ flhD
fliZ flhC
fliZ gadE
adiY gadX
leuO bglJ
ydeO gadE
marR marA
dnaA rpoH
evgA ydeO
evgA gadE
fis hns
fis gadX
fis mazF
fis crp
fis mazE
fis marA
fis marR
galR galS
ompR flhD
ompR flhC
cra marA
cra marR
cytR rpoH
hns gadX
hns flhD
hns rcsA
hns lrp
hns gadW
hns mazF
hns gadE
hns bglJ
hns evgA
hns fliA
hns gutM
hns leuO
hns hdfR
hns mazE
hns srlR
hns fliZ
hns flhC
hns adiY
hns ydeO
hns stpA
hns rcsB
bglJ leuO
cpxR rpoH
cpxR rpoE
yafQ dinJ
mazE mazF
rpoN flhD
rpoN rpoH
rpoN flhC
argP dnaA
lrp stpA
cspA hns
hipA hipB
rob marA
rob marR
ihfA flhD
ihfA ihfB
ihfA rpoH
ihfA hipA
ihfA fis
ihfA hipB
ihfA fnr
ihfA flhC
ihfA ompR
rpoH phoP
rpoH cra
rpoH ydeO
rpoH rpoD
mqsA rpoS
mqsA mqsR
galS galR
rpoE ecpR
rpoE rpoH
rpoE rpoD
rpoE rutR
rpoE rpoN
relB relE
torR gadX
fnr soxS
fnr gadW
fnr gadX
fnr arcA
fnr soxR
srlR gutM
dinJ yafQ
gutM srlR
gadE rcsA
gadE gadW
gadE gadX
gadE lrp
fliA hdfR
fliA fliZ
fliA flhC
crp srlR
crp gadE
crp marA
crp cytR
crp gutM
crp flhC
crp dksA
crp marR
crp gadX
crp flhD
crp oxyR
crp rpoH
crp mazF
crp galS
crp rpoS
crp fur
crp rhaS
crp mazE
crp rhaR
crp fis
crp ompR
arcA gadX
arcA fnr
arcA rpoS
relE relB
mazF mazE
rpoD cspA
rpoD hipA
rpoD evgA
rpoD mqsA
rpoD galS
rpoD lexA
rpoD rpoE
rpoD soxR
rpoD relB
rpoD torR
rpoD fnr
rpoD rcsB
rpoD phoB
rpoD srlR
rpoD mqsR
rpoD hipB
rpoD dinJ
rpoD ecpR
rpoD gutM
rpoD rpoN
rpoD flhC
rpoD qseB
rpoD dksA
rpoD gadX
rpoD flhD
rpoD rcsA
rpoD gadE
rpoD yoeB
rpoD fliA
rpoD mazE
rpoD galR
rpoD rhaS
rpoD oxyR
rpoD yefM
rpoD fliZ
rpoD soxS
rpoD crp
rpoD leuO
rpoD arcA
rpoD relE
rpoD ydeO
rpoD mazF
rpoD rpoS
rpoD fis
rpoD marR
rpoD ompR
rpoD fur
rpoD marA
rpoD sdiA
rpoD cytR
rpoD rpoH
rpoD hns
rpoD stpA
rpoD bglJ
rpoD cpxR
rpoD rutR
rpoD yafQ
rpoD rhaR
rpoD lrp
rpoS gadX
rpoS ihfA
rpoS oxyR
rpoS rpoH
rpoS gadE
rpoS evgA
rpoS ihfB
rpoS hdfR
rpoS rhaS
rpoS rhaR
rpoS gadW
hdfR flhD
hdfR flhC
marA rob
marA marR
sdiA gadW
soxS rob
soxS marA
soxS fur
soxS marR
oxyR fur
stpA leuO
ecpR flhD
ecpR fliZ
ecpR flhC
ecpR fliA
rutR gadX
rutR gadW
rhaR rhaS
